Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
IET Cyber-Physical Systems: Theory & Applications,IET CYBER PHYS SYST,N/A,2398-3396,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",433,N/A,N/A,0.42,97.35%
International Journal of Automation and Computing,INT J AUTOM COMPUT,1476-8186,1751-8520,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,527",N/A,N/A,0.6,19.80%
Visual Computing for Industry Biomedicine and Art,VIS COMPUT IND BIOME,N/A,2524-4442,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",190,N/A,N/A,0.32,100%
ACM Transactions on Management Information Systems,ACM TRANS MANAG INF,2158-656X,2158-6578,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",539,N/A,N/A,0.85,0%
Journal of Information and Organizational Sciences,J INF ORGAN SCI,1846-3312,1846-9418,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",115,N/A,N/A,0.13,68.85%
International Journal of Data Science and Analytics,INT J DATA SCI ANAL,2364-415X,2364-4168,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",560,N/A,N/A,0.51,24.84%
International Journal of Grid and Utility Computing,INT J GRID UTIL COMP,1741-847X,1741-8488,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",193,N/A,N/A,0.22,0%
Journal of Computer Virology and Hacking Techniques,J COMPUT VIROL HACKI,2263-8733,2263-8733,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",654,N/A,N/A,0.72,12.64%
AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS,AUTOM DOC MATH LINGU,0005-1055,1934-8371,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",79,N/A,N/A,0.14,0%
International Journal of Applied Pattern Recognition,INT J APPL PATTERN R,2049-887X,2049-8888,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",118,N/A,N/A,0.14,0%
International Journal of Digital Crime and Forensics,INT J DIGIT CRIME FO,1941-6210,1941-6229,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",135,N/A,N/A,0.23,46%
International Journal of Swarm Intelligence Research,INT J SWARM INTELL R,1947-9263,1947-9271,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",218,N/A,N/A,0.25,0%
Applied Computational Intelligence and Soft Computing,APPL COMPUT INTELL S,1687-9724,1687-9732,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",377,N/A,N/A,0.41,100%
International Journal of Internet Protocol Technology,INT J INTERNET PROTO,1743-8209,1743-8217,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",58,N/A,N/A,0.13,0%
International Journal of System Dynamics Applications,INT J SYST DYN APPL,2160-9772,2160-9799,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",257,N/A,N/A,0.38,45.71%
Foundations and Trends in Computer Graphics and Vision,FOUND TRENDS COMPUT,1572-2740,1572-2759,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",434,N/A,N/A,2.44,100%
CCF Transactions on Pervasive Computing and Interaction,CCF T PERVAS COMPUT,2524-521X,2524-5228,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",72,N/A,N/A,0.29,13.70%
Communications in Mathematical Biology and Neuroscience,COMMUN MATH BIOL NEU,2052-2541,2052-2541,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",303,N/A,N/A,0.42,98.82%
IEEE Open Journal of Intelligent Transportation Systems,IEEE OPEN J INTEL TR,N/A,2687-7813,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",48,N/A,N/A,0.48,100%
International Journal of Enterprise Information Systems,INT J ENTERP INF SYS,1548-1115,1548-1123,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",232,N/A,N/A,0.34,2.50%
International Journal of Information Retrieval Research,INT J INF RETR RES,2155-6377,2155-6385,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",86,N/A,N/A,0.21,0%
TEM Journal-Technology Education Management Informatics,TEM J,2217-8309,2217-8333,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",551,N/A,N/A,0.18,58.06%
International Journal of Applied Metaheuristic Computing,INT J APPL METAHEUR,1947-8283,1947-8291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",145,N/A,N/A,0.17,0%
Communications of the Association for Information Systems,COMMUN ASSOC INF SYS,1529-3181,1529-3181,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI","2,887",N/A,N/A,0.4,0%
EAI Endorsed Transactions on Scalable Information Systems,EAI ENDORSED TRANS S,2032-9407,2032-9407,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",124,N/A,N/A,0.23,98.64%
ISeCure-ISC International Journal of Information Security,ISECURE-ISC INT J IN,2008-2045,2008-3076,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",59,N/A,N/A,0.15,0%
International Journal of Online and Biomedical Engineering,INT J ONLINE BIOMED,N/A,2626-8493,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",334,N/A,N/A,0.2,99.78%
International Journal of Decision Support System Technology,INT J DECIS SUPPORT,1941-6296,1941-630X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",113,N/A,N/A,0.19,0%
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,INT J COMPUT APPL T,0952-8091,1741-5047,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",670,N/A,N/A,0.28,0%
International Journal of Information and Learning Technology,INT J INF LEARN TECH,2056-4880,2056-4880,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",405,N/A,N/A,0.48,5.38%
International Journal of Intelligent Engineering Informatics,INT J INTELL ENG INF,1758-8715,1758-8723,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",205,N/A,N/A,0.4,0%
Journal of Information and Communication Technology-Malaysia,J INF COMMUN TECHNOL,1675-414X,2180-3862,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",161,N/A,N/A,0.32,44.29%
International Journal of Artificial Intelligence in Education,INT J ARTIF INTELL E,1560-4292,1560-4306,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",943,N/A,N/A,0.58,26.85%
International Journal of Data Mining Modelling and Management,INT J DATA MIN MODEL,1759-1163,1759-1171,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",90,N/A,N/A,0.08,0%
International Journal of Distributed Systems and Technologies,INT J DISTRIB SYST T,1947-3532,1947-3540,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",95,N/A,N/A,0.16,0%
International Journal of Intelligent Information Technologies,INT J INTELL INF TEC,1548-3657,1548-3665,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",117,N/A,N/A,0.27,0%
Data,DATA,N/A,2306-5729,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI","1,330",N/A,N/A,0.66,96.59%
Qwerty,QWERTY,1828-7344,2240-2950,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",49,N/A,N/A,0.17,100%
Patterns,PATTERNS,2666-3899,2666-3899,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",549,N/A,N/A,0.77,99.47%
Computers,COMPUTERS,2073-431X,2073-431X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",854,N/A,N/A,0.43,95.40%
Algorithms,ALGORITHMS,N/A,1999-4893,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","2,576",N/A,N/A,0.45,96.65%
ERCIM News,ERCIM NEWS,0926-4981,1564-0094,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",144,N/A,N/A,0.04,0%
Information,INFORMATION,N/A,2078-2489,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI","4,158",N/A,N/A,0.62,95.59%
AI & Society,AI SOC,0951-5666,1435-5655,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,614",N/A,N/A,0.47,36.78%
Cryptography,CRYPTOGRAPHY-BASEL,N/A,2410-387X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",234,N/A,N/A,0.46,89.90%
IET Networks,IET NETW,2047-4954,2047-4962,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",597,N/A,N/A,0.57,25.42%
Cybersecurity,CYBERSECURITY,2523-3246,2523-3246,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",276,N/A,N/A,0.81,100%
Big Earth Data,BIG EARTH DATA,2096-4471,2574-5417,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",417,N/A,N/A,0.86,100%
Future Internet,FUTURE INTERNET,N/A,1999-5903,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI","2,736",N/A,N/A,0.7,95.84%
Web Intelligence,WEB INTELL,2405-6456,2405-6464,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",90,N/A,N/A,0.12,0%
Data Intelligence,DATA INTELLIGENCE,N/A,2641-435X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",184,N/A,N/A,1.06,100%
Informatics-Basel,INFORMATICS-BASEL,N/A,2227-9709,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",547,N/A,N/A,0.52,94.21%
