Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
International Journal of Innovative Computing Information and Control,INT J INNOV COMPUT I,1349-4198,1349-418X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,478",1,N/A,0.16,0%
Intelligent Decision Technologies-Netherlands,INTELL DECIS TECHNOL,1872-4981,1875-8843,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",411,1,N/A,0.11,0%
South American Journal of Herpetology,S AM J HERPETOL,1808-9798,N/A,ZOOLOGY - SCIE,443,0.9,Q3,0.64,0%
ZOOLOGICAL SCIENCE,ZOOL SCI,0289-0003,0289-0003,ZOOLOGY - SCIE,"2,646",0.9,Q3,0.54,0.53%
HERPETOZOA,HERPETOZOA,1013-4425,1013-4425,ZOOLOGY - SCIE,284,0.9,Q3,0.53,94.44%
Zootaxa,ZOOTAXA,1175-5326,1175-5334,ZOOLOGY - SCIE,"23,996",0.9,Q3,0.53,0%
JOURNAL OF ETHOLOGY,J ETHOL,0289-0771,1439-5444,ZOOLOGY - SCIE,948,0.9,Q3,0.47,21.54%
STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,STUD NEOTROP FAUNA E,0165-0521,1744-5140,ZOOLOGY - SCIE,719,0.9,Q3,0.44,1.18%
TROPICAL ZOOLOGY,TROP ZOOL,0394-6975,1970-9528,ZOOLOGY - SCIE,307,0.9,Q3,0.39,95%
Zoologia,ZOOLOGIA-CURITIBA,1984-4689,1984-4689,ZOOLOGY - SCIE,871,0.9,Q3,0.39,95.12%
AI MAGAZINE,AI MAG,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,814",0.9,Q4,0.37,27.27%
African Journal of Wildlife Research,AFR J WILDL RES,2410-7220,2410-8200,ZOOLOGY - SCIE,148,0.9,Q3,0.33,0%
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,1943-2909,"PHYSICS, MULTIDISCIPLINARY - SCIE","9,382",0.9,Q4,0.32,6.67%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,P NATL A SCI INDIA A,0369-8203,2250-1762,MULTIDISCIPLINARY SCIENCES - SCIE,686,0.9,Q4,0.32,0.39%
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",699,0.9,Q4,0.27,4.05%
Proceedings of the Estonian Academy of Sciences,P EST ACAD SCI,1736-6046,1736-7530,MULTIDISCIPLINARY SCIENCES - SCIE,501,0.9,Q4,0.24,100%
Gazi University Journal of Science,GAZI U J SCI,2147-1762,2147-1762,MULTIDISCIPLINARY SCIENCES - ESCI,747,0.9,N/A,0.23,100%
PHYSICS TEACHER,PHYS TEACH,0031-921X,1943-4928,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,682",0.9,Q4,0.23,1.63%
DEFENCE SCIENCE JOURNAL,DEFENCE SCI J,0011-748X,0976-464X,MULTIDISCIPLINARY SCIENCES - SCIE,"1,254",0.9,Q4,0.18,91.38%
Vietnam Journal of Computer Science,VIETNAM J COMPUT SCI,2196-8888,2196-8896,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",202,0.9,N/A,0.18,100%
International Journal of Cognitive Informatics and Natural Intelligence,INT J COGN INFORM NA,1557-3958,1557-3966,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",175,0.9,N/A,0.16,86.36%
Papers in Physics,PAP PHYS-LA PLATA,1852-4249,1852-4249,"PHYSICS, MULTIDISCIPLINARY - ESCI",71,0.9,N/A,0.14,93.10%
Proceedings of the Indian National Science Academy,P INDIAN NATL SCI AC,0370-0046,2454-9983,MULTIDISCIPLINARY SCIENCES - ESCI,760,0.9,N/A,0.14,1.33%
Journal of Logic Language and Information,J LOGIC LANG INFORM,0925-8531,1572-9583,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",329,0.8,Q4,0.7,31.18%
JOURNAL OF HERPETOLOGY,J HERPETOL,0022-1511,1937-2418,ZOOLOGY - SCIE,"3,417",0.8,Q4,0.58,0%
COMPARATIVE MEDICINE,COMPARATIVE MED,1532-0820,1532-0820,ZOOLOGY - SCIE,"1,714",0.8,Q4,0.56,0%
AUSTRALIAN JOURNAL OF ZOOLOGY,AUST J ZOOL,0004-959X,1446-5698,ZOOLOGY - SCIE,"1,855",0.8,Q4,0.55,54.55%
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,1217-8837,N/A,ZOOLOGY - SCIE,669,0.8,Q4,0.47,98.84%
Acta Herpetologica,ACTA HERPETOL,1827-9635,1827-9643,ZOOLOGY - SCIE,300,0.8,Q4,0.41,62.75%
INVERTEBRATE REPRODUCTION & DEVELOPMENT,INVERTEBR REPROD DEV,0792-4259,2157-0272,ZOOLOGY - SCIE,819,0.8,Q4,0.38,2.53%
REVUE SUISSE DE ZOOLOGIE,REV SUISSE ZOOL,0035-418X,0035-418X,ZOOLOGY - SCIE,937,0.8,Q4,0.37,96.15%
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1809-4392,ZOOLOGY - SCIE,"1,572",0.8,Q4,0.35,100%
RUSSIAN JOURNAL OF NEMATOLOGY,RUSS J NEMATOL,0869-6918,0869-6918,ZOOLOGY - SCIE,244,0.8,Q4,0.32,0%
TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,T ROY SOC SOUTH AUST,0372-1426,2204-0293,MULTIDISCIPLINARY SCIENCES - SCIE,434,0.8,Q4,0.32,4.26%
JOURNAL OF NATURAL HISTORY,J NAT HIST,0022-2933,1464-5262,ZOOLOGY - SCIE,"3,459",0.8,Q4,0.27,4.95%
